avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume
6.181M,-0.68,Realty Income Corporation,52.99,45632339968,42.06,-1.27%,Real Estate,O,851454
2.056M,-2.63,"Digital Realty Trust, Inc.",137.98,43980156928,46.15,-1.87%,Real Estate,DLR,110749
2.806M,-1.34,Crown Castle Inc.,94.1,40933498880,29.41,-1.40%,Real Estate,CCI,204577
2.328M,-2.25,"CoStar Group, Inc.",89.7,36628455424,97.50,-2.45%,Real Estate,CSGP,291433
6.27M,-0.18,VICI Properties Inc.,28.25,29468704768,11.44,-0.63%,Real Estate,VICI,1093511
1.163M,-2.55,Extra Space Storage Inc.,132.09,28905916416,27.87,-1.89%,Real Estate,EXR,86938
"789,548",-2.21,"AvalonBay Communities, Inc.",189.125,26890549248,28.83,-1.16%,Real Estate,AVB,78660
"350,670",-0.56,"NorthWestern Energy Group, Inc.",50.05,3066828800,15.54,-1.11%,Utilities,NWE,8684
2.373M,-0.71,"Fluence Energy, Inc.",16.13,2881349888,,-4.22%,Utilities,FLNC,143304
"425,853",-1.10,"MGE Energy, Inc.",77.87,2817017344,23.96,-1.39%,Utilities,MGEE,13278
"531,006",-0.24,Avista Corporation,35.553,2779747072,15.87,-0.66%,Utilities,AVA,23717
1.325M,-0.53,"NextEra Energy Partners, LP",29.1,2721993472,22.05,-1.79%,Utilities,NEP,145197
"379,535",-0.75,California Water Service Group,45.82,2646292736,50.35,-1.61%,Utilities,CWT,45234
"232,750",-0.80,American States Water Company,69.96,2604533760,20.82,-1.13%,Utilities,AWR,8580
"131,264",-1.36,Chesapeake Utilities Corporation,105.53,2349878784,22.26,-1.27%,Utilities,CPK,2925
1.047M,-0.44,Atlantica Sustainable Infrastructure plc,19.97,2319695104,53.97,-2.15%,Utilities,AY,138866
"652,546",-0.04,ReNew Energy Global Plc,5.6725,2072215296,56.73,-0.66%,Utilities,RNW,63659
"184,709",-0.67,SJW Group,54.46,1746009344,20.32,-1.22%,Utilities,SJW,5770
"379,380",-0.12,Northwest Natural Holding Company,38.465,1462720128,14.85,-0.30%,Utilities,NWN,16754
"330,367",-0.08,"Suburban Propane Partners, L.P.",19.68,1259947136,12.38,-0.40%,Utilities,SPH,5862
1.699M,-1.11,"CBRE Group, Inc.",85.655,26291716096,27.19,-1.29%,Real Estate,CBRE,133658
2.05M,-0.41,Equity Residential,64.2,24327946240,27.44,-0.63%,Real Estate,EQR,269659
3.456M,-0.38,Weyerhaeuser Company,31.165,22738515968,27.10,-1.19%,Real Estate,WY,221022
1.419M,-1.59,Iron Mountain Incorporated,76.6,22451152896,121.59,-2.03%,Real Estate,IRM,83790
1.05M,-3.31,SBA Communications Corporation,195.69,21138630656,42.36,-1.66%,Real Estate,SBAC,81501
3.118M,-0.34,Invitation Homes Inc.,33.97,20806115328,39.96,-0.99%,Real Estate,INVH,152341
1.018M,-3.95,"Alexandria Real Estate Equities, Inc.",115.7007,20234086400,109.15,-3.30%,Real Estate,ARE,101557
2.481M,-0.36,"Ventas, Inc.",43.25,17475119104,,-0.83%,Real Estate,VTR,69043
"393,140",-2.99,"Essex Property Trust, Inc.",244.75,16267381760,38.73,-1.21%,Real Estate,ESS,30391
"797,809",-1.94,"Sun Communities, Inc.",118.36,15387155456,,-1.61%,Real Estate,SUI,21249
"813,641",-1.31,"Mid-America Apartment Communities, Inc.",127.09,15234405376,26.98,-1.02%,Real Estate,MAA,56613
3.65M,-0.41,American Homes 4 Rent,35.16,14686297088,34.81,-1.15%,Real Estate,AMH,131351
5.78M,-0.33,"Host Hotels & Resorts, Inc.",19.005,13562575872,18.27,-1.68%,Real Estate,HST,180036
2.376M,-0.15,"Hawaiian Electric Industries, Inc.",10.725,1182999680,5.93,-1.42%,Utilities,HE,186821
"26,169",0.00,Kenon Holdings Ltd.,21.57,1138393344,,0.00%,Utilities,KEN,260
"178,024",-0.93,Middlesex Water Company,48.15,857720064,27.36,-1.89%,Utilities,MSEX,4760
"301,038",-0.25,"Aris Water Solutions, Inc.",14.41,837078336,24.42,-1.71%,Utilities,ARIS,18422
"52,722",-0.57,Unitil Corporation,50.23,811917696,17.81,-1.12%,Utilities,UTL,1441
"61,877",-0.36,The York Water Company,35.17,504133792,21.19,-1.01%,Utilities,YORW,5637
"152,662",-0.16,Genie Energy Ltd.,15.68,429377984,32.00,-1.01%,Utilities,GNE,4451
"158,867",-0.35,Consolidated Water Co. Ltd.,24.6,389390944,12.75,-1.40%,Utilities,CWCO,5378
"37,141",-0.31,Artesian Resources Corporation,34.58,354552224,20.71,-0.89%,Utilities,ARTNA,2976
"25,583",-0.03,"Global Water Resources, Inc.",12.1,292528384,36.67,-0.25%,Utilities,GWRS,389
"51,590",-0.02,Pure Cycle Corporation,9.55,230047088,35.37,-0.21%,Utilities,PCYO,5288
"15,141",+0.05,"RGC Resources, Inc.",20.31,206418656,15.50,+0.25%,Utilities,RGCO,1857
2.894M,-0.01,"UDR, Inc.",37.88,13473196032,28.27,-0.03%,Real Estate,UDR,369543
7.897M,-0.46,"Healthpeak Properties, Inc.",18.165,12889466880,32.44,-2.50%,Real Estate,DOC,633099
1.326M,-0.49,"Equity LifeStyle Properties, Inc.",60.83,11898226688,33.06,-0.80%,Real Estate,ELS,71149
5.296M,-0.28,Kimco Realty Corporation,18.245,12299556864,17.89,-1.54%,Real Estate,KIM,248483
1.376M,-0.78,W. P. Carey Inc.,55.6799,12184098816,16.98,-1.38%,Real Estate,WPC,69607
1.432M,-0.35,"Gaming and Leisure Properties, Inc.",43.1,11701649408,15.56,-0.81%,Real Estate,GLPI,43979
"408,929",-1.50,Lamar Advertising Company,112.56,11504757760,23.21,-1.32%,Real Estate,LAMR,11912
1.216M,-0.72,Regency Centers Corporation,58.89,10946531328,28.87,-1.21%,Real Estate,REG,60009
1.147M,-1.38,Camden Property Trust,97.48,10407842816,26.35,-1.40%,Real Estate,CPT,52591
1.432M,-2.19,"Boston Properties, Inc.",60.75,9540725760,50.21,-3.48%,Real Estate,BXP,130710
2.197M,-0.27,"Rexford Industrial Realty, Inc.",42.27,9440539648,38.78,-0.63%,Real Estate,REXR,157350
1.479M,-0.63,CubeSmart,41.49,9430760448,22.80,-1.50%,Real Estate,CUBE,121341
3.591M,+0.02,"Annaly Capital Management, Inc.",18.605,9310686208,,+0.13%,Real Estate,NLY,959699
21.23M,-16.42,Microsoft Corporation,392.64,2917488132096,35.57,-4.01%,Technology,MSFT,10072208
"6,722",-0.20,Ellomay Capital Ltd.,14.6,187647968,44.24,-1.35%,Utilities,ELLO,1012
"20,382",+0.05,"Via Renewables, Inc.",10.9,78836424,8.01,+0.46%,Utilities,VIA,238
1.328M,-0.64,"Centuri Holdings, Inc.",24.37,2157171712,,-2.56%,Utilities,CTRI,30261
"629,603",-1.40,Federal Realty Investment Trust,102.2,8541855232,36.50,-1.35%,Real Estate,FRT,78437
"275,917",-2.06,Jones Lang LaSalle Incorporated,179.8,8540014592,38.50,-1.13%,Real Estate,JLL,51708
1.791M,+0.02,"Omega Healthcare Investors, Inc.",30.7,7794945536,30.70,+0.07%,Real Estate,OHI,56433
"295,470",-1.53,"EastGroup Properties, Inc.",156.46,7511738880,35.40,-0.97%,Real Estate,EGP,17278
1.392M,-0.31,"NNN REIT, Inc.",40.825,7464851456,18.90,-0.77%,Real Estate,NNN,82227
11.21M,-0.15,AGNC Investment Corp.,9.21,6633963520,184.20,-1.60%,Real Estate,AGNC,3069916
2.63M,-0.15,Brixmor Property Group Inc.,21.615,6512448000,21.40,-0.67%,Real Estate,BRX,117267
1.14M,-0.45,"STAG Industrial, Inc.",34.3,6379868672,32.06,-1.29%,Real Estate,STAG,122358
2.581M,-0.18,"Americold Realty Trust, Inc.",22.34,6367704064,,-0.80%,Real Estate,COLD,55211
"439,716",-1.66,"Ryman Hospitality Properties, Inc.",106.23,6362146816,19.82,-1.54%,Real Estate,RHP,23353
2.231M,-0.11,"Starwood Property Trust, Inc.",19.29,6243671552,18.03,-0.57%,Real Estate,STWD,192774
1.251M,-0.72,"First Industrial Realty Trust, Inc.",45.3075,6160868864,20.88,-1.57%,Real Estate,FR,72706
61.509M,+0.24,Apple Inc.,169.2603,2613700460544,26.36,+0.14%,Technology,AAPL,10641226
53.469M,+18.10,NVIDIA Corporation,814.8729,2037182365696,68.19,+2.27%,Technology,NVDA,11797879
2.96M,+44.72,Broadcom Inc.,1301.54,603160969216,48.38,+3.56%,Technology,AVGO,644896
8.525M,-1.67,Oracle Corporation,113.67,312423120896,29.99,-1.45%,Technology,ORCL,907920
5.721M,-5.19,"Salesforce, Inc.",271,262870007808,64.52,-1.88%,Technology,CRM,866692
69.447M,+0.15,"Advanced Micro Devices, Inc.",151.8902,245475835904,286.59,+0.10%,Technology,AMD,10850091
3.762M,-9.15,Adobe Inc.,467.97,209650565120,44.78,-1.92%,Technology,ADBE,407883
19.723M,-0.32,"Cisco Systems, Inc.",48.025,194462351360,14.60,-0.67%,Technology,CSCO,2032982
2.488M,-6.88,Accenture plc,306.66,192806043648,27.78,-2.19%,Technology,ACN,545219
8.673M,+0.34,QUALCOMM Incorporated,163.97,182990520320,23.42,+0.21%,Technology,QCOM,734896
1.261M,-10.51,Intuit Inc.,624.98,174981267456,63.84,-1.65%,Technology,INTU,132266
